"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
"World"	900	48.65862472	51.00521693	53.09800847	57.82831466	60.41662764	62.64087587	64.3316444	65.76228204	66.629549	67.46567807	68.65407251	70.13728688
"More developed regions"	901	68.36587599	70.9051638	72.69244141	73.71627271	74.58047629	75.67078379	76.55234437	77.45913797	77.95012567	78.53127996	79.29144835	80.42220494
"Less developed regions"	902	42.67343068	45.10824738	47.43187305	53.21657764	56.48865899	59.09187769	61.11268472	62.75842497	63.89148193	64.93022536	66.24319896	67.76973275
"Least developed countries"	941	38.00537693	40.20234868	42.19438826	44.19427902	43.96246908	47.69057571	49.65370642	51.20419585	51.85230177	53.49570648	55.52078539	57.87621617
"Other less developed countries"	934	43.38046718	45.84646341	48.23668017	54.65605101	58.61693893	61.0682193	63.16310683	64.86005218	66.18860788	67.23556179	68.48168983	69.89477365
"Less developed regions, excluding China"	948	41.85549468	44.87776443	47.83991394	50.67728921	52.92156757	56.15342629	58.48069384	60.21722879	61.51821517	62.73182054	64.30456677	66.01851503
"Sub-Saharan Africa"	947	38.48824789	40.6073232	42.68303748	44.60471698	46.74625492	48.55758121	49.8412041	50.68022985	50.25458606	50.24141281	51.20557329	53.55368134
"Africa"	903	39.46832341	41.64731637	43.78072815	45.80098062	48.03689144	50.06812887	51.67692588	52.83687269	52.7758353	52.97834996	54.06005059	56.3244589
"Eastern Africa"	910	38.732465	41.19613262	43.87355872	45.92987655	47.92735588	49.42935084	50.17578004	51.04042977	49.53428819	50.53950212	51.68054805	55.34620244
"Burundi"	108	40.59	42.09	43.61	45.12	45.63	47.496	49.46	49.72	46.08	46.63	48.1	50.05
"Comoros"	174	42	44	46	48	51	53	55	57	58	59	60	61
"Djibouti"	262	36.41	38.96	41.28	43.68	45.97	48.06	50.71	52.22	53.54	54.75	55.99	58.04
"Eritrea"	232	37.54	39.79	41.99	44.1	46.1	46.295	46	48.69	52.52	56.79	59.59	62.23
"Ethiopia"	231	35.39	38.09	41.63	43.7	45.07	46.07	44.98	47.43	49.66	52	54.58	58.74
"Kenya"	404	44.17	46.56	50.18	52.92	55.83	58.34	60.78	61.47	60.17	55.19	52.73	55.93
"Madagascar"	450	36.99	39.38	41.48	43.57	45.86	47.95	50.3	50.6	54	58.76	63.46	67.3
"Malawi"	454	36.7	37.7	39	40.15	42.49	44.22	46.28	47.77	48.33	46.78	46.86	51.48
"Mauritius"	480	51.49	57.61	63.04	65.03	66.31	70.02	71.83	72.51	74.07	74.14	75.43	76.19
"Mayotte"	175	50.33	56.91	62.2	66.31	69.57	72.19	74.33	76.12	77.64	78.95	80.08	81.08
"Mozambique"	508	32.5	35.1	37.58	39.65	41.95	44.15	44.33	44.31	45.72	48.56	49.15	49.88
"Reunion"	638	50.33	56.91	62.2	66.31	69.57	72.19	74.33	76.12	77.64	78.95	80.08	81.08
"Rwanda"	646	41.57	43.07	44.56	45.68	46.19	47.26	51.28	46.81	25.6	42.62	50.59	55.14
"Somalia"	706	34.5	36.53	38.56	40.58	42.6	43.61	45.6	47.6	44.9	48.5	51	51.79
"Uganda"	800	41.6	44.2	47	49.67	52.64	51.82	51.52	51.07	47.7	46.3	48.5	52.73
"United Republic of Tanzania"	834	42.93	44.71	46.01	47.52	49.39	51.59	52.45	52.94	51.44	50.8	52.34	56.19
"Zambia"	894	43.6	45.7	47.6	49.4	51.83	53.32	53.57	51.39	46.3	43.09	42.47	47.26
"Zimbabwe"	716	50.1	52.2	54.1	55.8	57.5	59.6	62.27	63.47	59.45	48.52	42.42	45.43
"Middle Africa"	911	38.37359762	40.18231848	41.87416329	43.73014538	45.89087696	47.39583753	48.53308335	49.20311266	49.18857186	47.75104516	48.7305479	49.86664097
"Angola"	24	31.47	33.49	35.52	37.55	39.58	41.33	41.9	43.11	43.35	44.78	48.61	51.04
"Cameroon"	120	39.88	41.79	44.01	46.18	48.95	51.6	53.67	54.76	54.32	52.29	50.55	50.89
"Central African Republic"	140	34.91	37.06	39.22	41.92	45.87	49.67	51.96	51.89	49.98	46.37	44.95	47.31
"Chad"	148	39.41	41.23	43.11	45.05	46.74	48.7	50.9	52.38	52.04	50.73	49.46	49.9
"Congo"	178	44.05	47.98	51.52	54.04	55.79	57.15	58.23	58.58	56.53	55.33	55.41	57.16
"Dem. Republic of the Congo"	180	40.42	41.91	43	44.36	46.16	46.86	47.61	47.95	48.26	46.39	47.95	48.91
"Equatorial Guinea"	226	36.01	37.53	39.04	40.56	42.09	43.6	45.36	47.33	49.27	50.16	50.23	51.48
"Gabon"	266	38.57	40.59	42.09	46.21	50.31	54.34	58.52	62.19	62.86	61.96	60.34	62.35
"Sao Tome and Principe"	678	48	50.5	53.5	56	58	59.95	60.65	61.43	62.24	63.09	63.96	65.11
"Northern Africa"	912	43.53029021	45.64753145	47.79853035	50.19878655	52.78331879	55.83501332	59.02575691	61.89550802	64.58920949	67.01982541	69.52581837	71.26688616
"Algeria"	12	44.2	46.8	49.4	52.5	55.5	59	62.6	67.1	69.1	70.4	72.22	73.71
"Egypt"	818	43.7	45.8	47.9	50.2	52.7	55.9	59	61.95	65.49	69.28	72.36	74.26
"Libyan Arab Jamahiriya"	434	43.9	46.6	49.2	51.8	54.5	59.3	64.2	68.9	71.7	74.5	75.67	76.87
"Morocco"	504	43.848	46.531	49.112	51.688	54.358	57.318	61.44	64.6	67.5	69.8	71.8	73.44
"Sudan"	736	41.51	42.5	43.76	45.66	47.6	49.7	51.7	53.17	55.06	56.98	60.07	62.01
"Tunisia"	788	45.1	47.6	50.1	52.6	56.1	61	65.7	68.83	72.1	74.02	75.12	76.04
"Western Sahara"	732	37.1	39.1	41	43	45.1	49.42	53.73	58.05	60.55	63.05	65.83	68.1
"Southern Africa"	913	45.86139635	49.26249951	51.7496438	54.12239635	56.23420678	58.53049745	61.63988311	64.24084741	64.58006793	60.12130378	53.500851	52.01333082
"Botswana"	72	49.55	51.5	53.3	55	57.8	61.2	63.68	65.75	64.7	55.74	48.39	52.54
"Lesotho"	426	43.8	46.71	49.4	50.11	51.35	53.8	56.9	59	61.78	53.38	44.01	45.18
"Namibia"	516	44.1	47.5	50.6	53.22	55.87	58.43	61.01	62.27	62.73	60.79	57.43	61.62
"South Africa"	710	46	49.5	52	54.51	56.6	58.83	61.97	64.68	64.94	60.78	54.22	52.08
"Swaziland"	748	43.45	45.44	46.99	48.59	51.52	54.45	57.86	60.12	60.45	53.75	45.87	47.04
"Western Africa"	914	36.54265653	38.32540375	39.99747137	41.74083362	44.00135518	46.09881244	47.58290412	48.14965659	48.36692663	48.54905755	50.67004718	53.18541598
"Benin"	204	34.46	36.66	38.48	40.52	44.78	47.51	49.14	50.46	52.94	54.69	55.58	56.5
"Burkina Faso"	854	32.94	35.67	38.27	40.73	43.41	46.14	48.58	49.46	49.87	50.74	52.1	54.78
"Cape Verde"	132	47.96	49.22	50.61	52.13	55.44	59.01	62.58	66.44	69.72	72.28	74.88	77.36
"Cote d'Ivoire"	384	39.74	40.9	41.98	43.25	47.51	51.31	54.23	54.71	53.43	51.52	51.44	54.05
"Gambia"	270	33.08	34.39	35.68	37.5	42.25	46.65	50.85	53.99	54.43	55.62	57.14	58.49
"Ghana"	288	42.35	45.53	47.53	48.73	51.59	53.81	55.2	56.36	59.04	58.73	60.27	63.61
"Guinea"	324	32.5	32.88	33.28	33.69	35.91	38.5	41.08	43.64	46.12	48.07	51.24	54.01
"Guinea-Bissau"	624	33.84	35.18	36.55	37.9	39.24	40.4	42.5	43.91	44.72	45.67	47.05	48.22
"Liberia"	430	37.54	39.3	41	42.67	44.28	45.71	45.51	44.55	43.68	44.8	50.2	55.35
