"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
"Cape Verde"	132	45.81	46.94	48.13	49.45	54.11	57.55	60.05	61.5	62.78	64.38	66.77	69.41
"Cote d'Ivoire"	384	37.9	39.06	39.91	41.18	44.57	48.28	50.93	51.44	50.51	49.28	49.75	52.14
"Gambia"	270	30.32	31.59	32.85	34.66	39.51	44.02	48.34	51.58	52	53.23	54.82	56.25
"Ghana"	288	41.1	44.24	46.05	47.16	48.58	50.83	52.55	54.5	57.05	56.97	58.65	61.84
"Guinea"	324	30.7	31.37	32.01	32.66	34.25	36.73	39.09	41.35	43.53	45.25	48.28	50.93
"Guinea-Bissau"	624	31.22	32.54	33.89	35.22	36.56	37.71	39.78	40.94	41.78	42.83	44.19	45.33
"Liberia"	430	32.19	34.25	36.25	38.2	40.2	41.86	41.78	41.17	40.56	42.07	48.11	53.45
"Mali"	466	29.03	29.45	29.89	32.19	34.8	37.3	39.78	42.28	43.85	45.49	46.98	48.89
"Mauritania"	478	38.32	40.28	42.16	43.96	47.49	50.27	52.77	53.93	54.93	55.29	55.63	55.89
"Niger"	562	37.33	37.59	37.73	37.9	38.27	38.91	39.61	40.26	42.45	46.08	49.62	52.66
"Nigeria"	566	33.96	35.94	37.88	39.77	42.11	43.67	44.6	44.59	44.36	44.33	46.99	49.5
"Senegal"	686	36.29	37.66	38.35	39.09	40.91	44.35	48.29	51.43	52.79	53.97	55.59	57.19
"Sierra Leone"	694	28.4	29.58	30.94	32.99	35.68	39.73	43.41	39.57	35.98	36.67	40.98	45.65
"Togo"	768	34.02	36.92	39.78	42.54	45.32	47.24	49.01	50.65	51.94	52.86	53.74	54.24
"Asia"	935	42.83829335	44.58438301	45.20187303	53.7896661	55.86086113	58.72184418	60.16359837	62.18017329	63.54914748	64.67355227	65.94902003	67.21105515
"Eastern Asia"	906	46.11755601	46.31595028	44.34471445	59.91986819	63.50371702	65.37884012	66.83555789	68.11266851	69.13348564	69.93998647	70.90638917	72.03598585
"China"	156	44.59	44.45	41.96	59.19	63.02	64.75	66.17	67.4	68.4	69.27	70.02	71.1
"China, Hong Kong SAR"	344	58.99	61.85	64.86	67.04	68.99	70.76	72.37	73.87	75.27	76.58	77.84	79.04
"China, Macao SAR"	446	59.37	62.08	64.5	66.65	68.56	70.27	71.81	73.2	74.48	75.64	76.73	77.74
"Dem. People's Rep. of Korea"	408	48.5	52.4	54.8	57.6	60.8	63.5	65.4	67	66.08	60	64.18	64.8
"Japan"	392	60.4	64.07	66.5	68.68	70.47	72.64	74.12	75.53	76.27	77.07	78.28	79.25
"Mongolia"	496	41.75	44.07	49.05	52.12	54.6	54.97	55.4	57.72	58.02	59.5	60.82	63.4
"Republic of Korea"	410	46.04	49.03	52.27	55.78	59.54	60.94	63.2	66.24	68.72	71.07	73.8	76.48
"Taiwan, Province of China"	158	56.44	60.37	62.55	64.48	67.06	68.46	69.95	71.09	71.94	72.53	74.23	75.25
"South-Central Asia"	921	39.60487353	42.62806266	45.6172562	48.6628318	49.51464292	54.26296069	55.22029493	57.38952581	58.9111028	60.24240012	61.76921063	63.15233512
"Central Asia"	5500	50.58440826	52.65325634	54.64083943	56.63955305	58.19008194	59.21974681	60.67947145	62.26035367	60.99609879	60.06636605	61.26666678	62.21112478
"Kazakhstan"	398	50.15	52.19	54.22	56.26	57.79	58.83	60.41	62.35	60.53	57.46	59.07	60.18
"Kyrgyzstan"	417	48.75	50.89	53.04	55.18	56.82	57.96	59.61	61.97	62.09	61.95	62.68	62.66
"Tajikistan"	762	50.75	52.79	54.82	56.86	58.44	59.48	60.17	60.97	58.6	59.28	60.93	63.29
"Turkmenistan"	795	47.9	49.94	51.97	54.01	55.54	56.58	58.11	59.25	58.85	59.74	60.4	60.62
"Uzbekistan"	860	52.4	54.44	56.47	58.51	60.04	61.08	62.61	64	63.01	63.6	64.06	64.33
"Southern Asia"	5501	39.30025136	42.30991669	45.28832649	48.36614166	49.2024253	54.07721066	55.01121443	57.19972885	58.83106176	60.25549701	61.79378283	63.18713756
"Afghanistan"	4	29.17	30.67	32.28	34.28	36.34	38.55	40.13	41.7	43.05	44.51	45.92	47.19
"Bangladesh"	50	46.25	47.91	49.42	50.75	32.63	53.59	56.16	58.59	60.97	63.46	65.67	67.41
"Bhutan"	64	35.94	36.32	37.29	38.9	41.08	43.81	46.76	49.38	53.02	57.27	61.83	64.08
"India"	356	38.72	41.76	44.9	48.21	51.32	54.3	56.2	57.65	58.48	59.92	61.38	62.8
"Iran (Islamic Republic of)"	364	39.53	43.49	46.85	49.73	52.48	55.93	37.66	49.51	65.66	67.88	69.23	70.33
"Maldives"	462	35.1	37.11	39.43	43.16	46.92	51.02	56.49	59.99	62.85	67.35	71.83	74.64
"Nepal"	524	36.76	38.06	39.56	41.52	44.23	46.99	49.85	52.9	55.61	59.29	63	66.71
"Pakistan"	586	40.96	44.69	48.15	51.47	54.58	56.69	58.19	59.45	60.72	61.87	62.89	63.78
"Sri Lanka"	144	51.81	54.77	56.18	59.18	62.41	65.05	66.87	65.82	66.77	65.47	69.52	71.2
"South-Eastern Asia"	920	41.1442912	44.69227891	47.74781747	50.38789599	52.28554114	54.77516377	58.22599569	60.71748905	62.86145336	64.44662284	65.9447089	67.16764617
"Brunei Darussalam"	96	56.21	59.42	62.14	64.41	66.36	68.06	69.58	70.95	72.22	73.4	74.51	75.29
"Cambodia"	116	38.1	40	42	44	39	30	46.66	52.65	54.15	55.49	57.74	60.21
"Indonesia"	360	37.74	41.9	45.72	48.68	51.83	54.66	57.2	59.46	61.46	63.25	64.86	66.29
"Lao People's Dem. Republic"	418	40.57	41.75	42.9	44.06	45.23	46.78	48.52	51.3	55.07	58.73	61.55	64.77
"Malaysia"	458	54.47	57.28	59.7	61.73	63.49	65.03	66.39	67.59	68.65	69.6	70.46	71.24
"Myanmar"	104	34.62	39.76	42.71	46.81	50.19	53.07	53.96	54.64	57.45	59.79	61.06	62.08
"Philippines"	608	54.1	55.79	57.35	58.53	59.56	60.5	61.35	62.12	62.81	63.45	64.02	64.54
"Singapore"	702	57.52	60.81	63.4	64.26	65.97	68.2	69.53	71.9	74.43	75.63	77.22	78.48
"Thailand"	764	48.68	51.89	54.5	56.54	58.5	60.99	64.68	68.97	68.89	68.44	69.29	70.17
"Timor-Leste"	626	29.57	31.94	34.42	36.9	39.23	30	39.19	42.49	47.8	53.04	57.42	59.94
"Viet Nam"	704	39.1	41.3	43.5	45.7	45.31	49.67	56.78	61.05	66.1	68.98	71.19	72.33
"Western Asia"	922	45.13849219	47.58932301	49.59043612	51.41177125	53.94624481	57.02708005	57.75725286	61.9529815	64.70892606	66.69926088	68.52646707	69.39637934
"Armenia"	51	59.75	61.82	63.89	66.01	67.59	67.31	67.73	65.9	64.5	66.58	68.86	70.21
"Azerbaijan"	31	54.4	56.36	58.33	60.29	61.76	61.17	61.04	62.15	59.36	62.45	65	67.09
"Bahrain"	48	38.91	44.78	52.37	59.07	63.69	67.03	69.34	70.82	71.72	72.55	73.31	74.03
"Cyprus"	196	64.8	66.75	68.44	69.89	71.16	72.26	73.24	74.11	74.89	75.6	76.25	76.84
"Georgia"	268	56.75	58.71	60.68	62.64	64.11	65.57	65.64	66.5	66.5	67.25	68.82	69.36
"Iraq"	368	38.59	45.88	51.92	56.32	59.05	60.7	44.47	56.81	67.59	68.33	67.55	63.37
"Israel"	376	67.56	68.64	69.56	70.27	70.99	71.89	72.85	73.98	75.1	76.23	77.4	78.36
"Jordan"	400	48.46	51.95	55.12	58.34	61.62	64.56	66.79	68.55	69.81	70.62	71.16	71.65
"Kuwait"	414	54.28	58.09	61.34	63.99	66.11	68.05	69.78	71.1	71.98	72.6	73.07	73.47
"Lebanon"	422	54.3	57.8	60.3	62	63.4	63.9	64.7	65.6	67.2	68.2	68.94	69.86
"Occupied Palestinian Territory"	275	44.68	46.29	48.9	52.27	55.69	59.28	62.78	65.54	67.34	68.9	69.83	70.6
"Oman"	512	37.34	39.8	42.87	46.78	51.83	56.88	62.12	67.16	71.09	72.42	73.57	70.88
"Qatar"	634	52.24	55.84	59.52	62.95	66.41	69.29	71.33	73	74.46	75.76	76.95	78.07
"Saudi Arabia"	682	38.87	41.81	44.86	48.6	53.41	58.93	63.3	66.33	68.58	69.64	70.73	72.24
"Syrian Arab Republic"	760	45.37	48.8	52.37	56.1	59.95	63.01	65.88	68.53	70.75	72.2	73.12	73.91
"Turkey"	792	45.9	46.47	46.8	47.19	49.38	52.72	56.41	59.6	62.33	65.63	68.73	70.7
"United Arab Emirates"	784	42.45	46.37	51.57	57.74	62.45	65.7	68.06	70.01	71.55	72.94	74.19	75.25
"Yemen"	887	34.85	36.2	37.53	38.82	40.23	45.04	50.25	53.95	55.5	57.05	60.02	62.52
"Europe"	908	62.90285704	65.11770067	66.45123918	66.89556682	67.12794344	67.25733018	67.65743744	68.98884882	68.33548976	68.90424072	69.60469824	71.41416818
"Eastern Europe"	923	60.61740335	63.50992814	65.32220953	65.34951563	64.92437099	64.07937088	63.74046818	65.21528808	63.09578993	62.52968762	62.39334179	64.34755837
"Belarus"	112	61.1	63.1	64.6	65.6	66.6	65.8	65.6	66.55	64.5	62.49	62.73	63.59
"Bulgaria"	100	60.31	64.63	68.31	68.9	68.85	68.62	68.48	68.28	67.74	67.42	68.71	69.21
"Czech Republic"	203	64.48	66.84	67.31	66.63	67	67.13	67.23	67.81	68.81	70.75	72.2	73.78
"Hungary"	348	61.88	64.69	66.47	66.83	66.44	66.35	65.28	65.41	64.94	66.53	68.36	69.54
"Poland"	616	58.6	63.2	65.13	66.5	66.99	66.65	66.92	66.75	66.76	68.48	70.31	71.17
"Republic of Moldova"	498	55	57	59	61	61.6	61.6	61.7	64.1	63.56	62.64	63.66	64.42
"Romania"	642	59.4	62.4	65.15	65.32	66.64	67.13	66.93	66.53	66.1	66.07	67.9	69.57
"Russian Federation"	643	60.5	62.52	64.122	63.766	63.131	61.852	61.45	63.86	60.57	59.6	58.56	61.56
"Slovakia"	703	62.52	66.66	68.27	67.49	66.78	66.91	66.8	66.95	67.44	68.69	69.82	70.73
"Ukraine"	804	61.29	65.43	67.44	67.14	65.3	64.2	64.41	66.01	63.62	61.89	61.95	61.78
"Northern Europe"	924	66.50562296	67.72675295	68.21268021	68.69387008	69.04360825	69.64496494	70.70075759	71.67853181	72.46043728	73.67776037	75.19579676	76.48881444
"Channel Islands"	830	66.63	67.63	67.92	68.48	68.93	69.77	71.03	72.06	73.33	74.45	75.96	77.32
"Denmark"	208	69.59	70.4	70.4	70.52	70.87	71.32	71.42	71.81	72.49	73.49	74.87	75.99
"Estonia"	233	61.7	64.2	65.04	65.72	65.677	64.474	64.06	65.58	62.89	63.55	65.56	68.35
"Finland"	246	62.66	64.6	65.45	65.73	66.51	68.08	69.96	70.58	71.77	73.3	74.8	75.89
"Iceland"	352	69.86	70.96	71.13	71.09	71.23	73.37	73.8	75.09	76.18	76.77	78.62	79.49
"Ireland"	372	65.39	67.32	68.24	68.63	68.77	69.36	70.39	71.35	72.56	73.23	75.06	77.33
"Latvia"	428	62.5	65	66.39	66.28	65.39	63.95	63.88	65.81	61.94	63.58	65.7	66.88
"Lithuania"	440	61.5	64.5	67	67.58	66.98	65.96	66.1	67.2	64.32	65.06	66.26	65.46
"Norway"	578	70.84	71.41	71.09	71.15	71.29	72.07	72.61	72.68	74.05	75.35	76.61	78.12
"Sweden"	752	70.31	71.16	71.48	71.78	72.11	72.34	73.35	74.16	75.33	76.66	77.78	78.78
"United Kingdom"	826	66.67	67.67	67.97	68.52	68.97	69.82	71.07	72.11	73.38	74.5	76.01	77.38
"Southern Europe"	925	61.65059731	64.11197967	65.78162788	67.13506597	68.50262801	69.7104661	70.844126	72.00363932	72.25029592	74.07180097	75.56702675	76.76243303
"Albania"	8	54.4	58.5	63.7	65.1	66	66.8	68	69.2	68.44	70.09	72.37	73.43
"Bosnia and Herzegovina"	70	52.6	56.9	60.1	62.6	65.2	67.4	67.95	69.2	55.82	70.5	71.62	72.43
"Croatia"	191	59	62.4	64.5	65.3	66.2	67.1	66.4	67	68.29	70.93	71.35	72.45
"Greece"	300	64.3	66.3	67.9	69.3	70.6	71.7	72.84	74	74.77	75.21	76.28	77.02
"Italy"	380	64.45	66.08	66.91	67.94	69.11	70.15	71.41	72.97	74.01	75.45	77.21	78.58
"Malta"	470	64.16	64.69	66.15	67.52	68.81	70.04	71.2	72.31	73.37	74.39	75.38	76.34
"Montenegro"	499	58.35	60.16	61.97	65.04	68.11	70.423	71.534	72.296	72.79	72.11	71.85	71.55
"Portugal"	620	57.32	59.31	61.29	63.02	64.91	66.54	68.78	70.3	71.05	72.23	73.93	75.32
"Serbia"	688	57.13	60.7	63.3	65.2	66.8	68.1	67.7	68.75	69.19	69.9	70.89	71.7
"Slovenia"	705	63	65.1	66.1	65.6	66	67	67.01	68.39	69.6	71.16	72.78	74.97
"Spain"	724	61.78	65.09	67.1	68.45	69.64	71.09	72.76	73.3	73.77	74.9	76.24	77.22
"TFYR Macedonia"	807	54.95	58.7	61.65	64.24	66.05	67.9	67.68	68.91	69.43	70.33	71.02	72.12
"Western Europe"	926	65.35040894	66.79390296	67.59746354	68.02809776	68.54638189	69.6188201	70.77806082	72.11613094	73.02639241	74.42250872	75.89546293	77.43793324
"Austria"	40	63.56	64.8	66.25	66.67	67.01	68.3	69.4	71.26	72.57	74.05	75.78	77.41
"Belgium"	56	65.9	67.37	67.12	67.61	68.43	69.41	70.62	72.22	72.96	74.31	75.11	76.95
"France"	250	64.24	66.1	67.24	67.74	68.62	69.67	70.74	72.06	73.25	74.56	75.97	77.48
"Germany"	276	65.3	66.6	67.4	67.8	67.9	69	70.3	71.72	72.58	74.11	75.73	77.2
"Luxembourg"	442	63.1	64.5	65.94	66.53	66.77	67.79	69.37	70.72	72.28	73.57	74.95	76.7
"Netherlands"	528	70.64	71.25	71.19	71.01	71.2	71.98	72.81	73.47	74.22	75.08	76.25	78.05
"Switzerland"	756	67	68.1	68.67	69.64	70.58	71.84	72.69	73.8	74.67	76.06	77.91	79.31
"Latin America and the Caribbean"	904	49.57962967	52.38180966	54.78683157	56.65769361	58.51774992	60.52339054	62.11759722	63.89738337	65.59707564	67.39881329	68.86461315	70.22687054
"Caribbean"	915	50.53494979	53.66625009	56.62833602	59.2265322	61.14392759	62.36131588	63.55506548	64.57548354	65.54267323	66.73953474	67.88225524	69.33564508
"Aruba"	533	59.1	63	64.8	66.4	67.5	68.8	70.5	70.8	71.1	71.2	71.51	72.28
"Bahamas"	44	58.27	60.77	61.01	62.96	63.21	63.29	64.54	66.02	66.41	68.09	69.81	71.6
"Barbados"	52	55	60.2	63.5	65.2	66.9	68.7	70.2	71.52	72.12	72.3	72.61	73
"Cuba"	192	57.44	60.49	63.55	66.76	69.22	71.27	72.44	72.68	72.84	74.01	75.04	76.55
"Dominican Republic"	214	44.74	48.54	52.09	55.32	58.08	60.31	62.01	64.14	66.31	67.81	69.22	69.85
"Grenada"	308	59.56	60.2	60.85	61.49	62.13	62.77	63.41	65.68	68.85	71.12	72.78	73.71
"Guadeloupe"	312	51.82	55.19	58.19	60.87	63.28	65.48	67.5	69.37	71.11	72.73	74.26	75.71
"Haiti"	332	36.25	39.3	42.13	44.76	46.66	48.35	50.57	52.66	55	56.65	57.56	59.94
"Jamaica"	388	56.84	60.73	63.66	65.66	67.12	68.07	69.18	68.85	67.85	67.54	68	69.57
"Martinique"	474	54.42	57.71	60.74	63.49	65.69	67.68	69.5	71.16	72.69	74.12	75.45	76.68
"Netherlands Antilles"	530	59.08	62.97	64.77	66.37	67.77	69.47	70.87	71.43	71.47	71.11	71.2	72.65
"Puerto Rico"	630	61.67	65.7	66.41	67.81	68.94	70.19	70.63	70.58	69.53	70.35	73.72	74.69
"Saint Lucia"	662	52.36	54.28	56.75	59.96	62.39	64.82	67.24	68.24	69.26	69.71	70.64	71.42
"St. Vincent and the Grenadines"	670	49.78	50.87	55.01	58.04	60.02	63.05	64.7	66.1	67.1	67.5	68.58	69.59
"Trinidad and Tobago"	780	56.88	59.56	62.16	62.59	63.2	64.25	64.58	65.03	65.4	65.05	64.62	65.8
"United States Virgin Islands"	850	57.71	60.84	62.27	64.11	65.79	67.53	68.89	70.33	71.76	73.42	75.02	75.89
"Central America"	916	47.44447933	51.49342304	54.60937059	56.62875189	58.71084885	60.69755792	62.5894986	65.24795174	67.74897725	69.93511676	71.26556046	72.53055408
"Belize"	84	56.06	58.66	61.04	63.92	66.14	68.08	69.58	70.55	70.87	71.47	72.28	73.93
"Costa Rica"	188	56.04	58.82	61.59	63.91	66.06	68.89	71.61	72.94	73.98	75.03	75.88	76.51
"El Salvador"	222	43.39	47.22	50.48	52.56	53.2	51.96	50.61	57.48	63.34	64.45	65.52	66.55
"Guatemala"	320	41.8	43.7	46.2	49	52.41	54.44	56.12	58.31	60.51	62.87	65.5	66.73
"Honduras"	340	40.29	42.93	46.28	49.19	52.01	55.5	59.27	63.05	65.11	67.45	68.44	69.74
"Mexico"	484	48.81	53.29	56.4	58.14	60.07	62.29	64.42	66.75	69.02	71.26	72.44	73.73
"Nicaragua"	558	40.49	43.87	47.17	50.44	53.66	55.26	56.43	59.17	63.5	65.87	67.96	69.91
"Panama"	591	54.3	58.29	60.84	63.02	64.88	66.92	68.36	69.23	70.18	71.21	72.21	72.98
"South America"	931	50.20996728	52.53161371	54.62763933	56.33273108	58.06619747	60.16833504	61.80255767	63.35720635	64.85283427	66.60080587	68.13613377	69.50414915
"Argentina"	32	60.39	62.11	62.43	62.72	64.06	65.4	66.78	67.54	68.56	69.61	70.57	71.53
"Bolivia (Plurinational State of)"	68	38.49	39.9	41.39	42.94	44.58	48.04	52	55.6	58.32	60.1	61.81	63.43
"Brazil"	76	49.23	51.45	53.82	55.71	57.29	59.22	60.36	61.87	63.58	65.54	67.17	68.66
"Chile"	152	52.91	53.83	55.27	57.73	60.56	64.02	67.43	69.62	71.49	72.77	74.84	75.54
"Colombia"	170	48.98	53.48	56.23	58.29	59.59	61.7	63.6	64.45	64.53	66.53	68.04	69.24
"Ecuador"	218	47.13	50.13	53.43	55.36	57.36	59.68	62.47	65.3	67.57	69.67	71.32	72.14
"French Guiana"	254	50.32	53	56.35	61.36	62.5	63.07	66	68.2	70	71.5	71.91	72.55
"Guyana"	328	46.5	49.38	51.84	53.78	55.92	57.4	57.87	57.89	58.48	60.1	62.72	65.53
"Paraguay"	600	60.54	61.12	62.29	63.03	63.74	64.32	64.86	65.36	66.26	67.17	68.67	69.67
"Peru"	604	42.58	44.9	47.65	49.94	53.81	56.63	59.42	62.05	64.37	66.76	68.97	70.57
"Suriname"	740	54.38	56.98	58.68	60.47	61.67	62.77	63.63	63.97	64.43	64.58	64.78	66.42
"Uruguay"	858	63.25	64.16	65.34	65.46	65.58	66.27	67.57	68.55	69.19	70.42	71.57	72.72
"Venezuela (Bolivarian Republic of)"	862	52.88	55.58	58.2	60.45	62.41	64.56	65.97	67.66	68.65	69.26	69.87	70.83
"Northern America"	905	65.83751367	66.6880832	66.96887533	66.96831314	67.72892794	69.50648114	70.82737317	71.51365814	72.41543206	73.649175	74.78239553	75.6294764
"Canada"	124	66.64	67.65	68.42	68.94	69.56	70.65	72.32	73.45	74.58	75.64	77.15	78.18
"United States of America"	840	65.76	66.58	66.8	66.75	67.52	69.37	70.66	71.3	72.17	73.43	74.53	75.35
"Oceania"	909	58.15503588	60.07886667	61.43779853	62.55328389	63.83702274	65.47904327	66.80710738	67.75472522	69.46518481	70.88431604	72.68607738	74.33104477
"Australia/New Zealand"	927	66.84370492	67.63644945	67.96241073	67.80884493	68.34583474	69.88056469	71.49608541	72.59515811	74.33301338	75.75454718	77.56123311	78.9378637
"Australia"	36	66.67	67.5	67.83	67.7	68.28	70	71.68	72.87	74.53	75.95	77.76	79.12
"New Zealand"	554	67.56	68.2	68.51	68.27	68.64	69.35	70.64	71.3	73.37	74.8	76.55	78.03
"Melanesia"	928	36.32693496	39.05852733	41.93901292	45.96486449	49.23488464	51.86397927	53.93233149	54.41787263	55.9171877	57.61927108	59.28876443	61.06266078
"Fiji"	242	50.12	52.75	55.1	57.21	59.09	60.69	62.02	63.12	64.04	64.83	65.5	66.09
"New Caledonia"	540	49.54	54.12	57.4	60.12	62.4	64.33	66	67.44	68.73	69.88	70.93	72.31
"Papua New Guinea"	598	33.81	36.3	39	43.29	46.79	49.5	51.72	52.31	53.92	55.78	57.6	59.49
"Solomon Islands"	90	44.9	47.4	49.9	52.4	54.9	57.4	58.2	55.53	57.94	60.37	62.85	65.12
