"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
"World"	900	46.67168353	48.51980257	49.35292064	55.05305284	56.58815612	58.69801989	59.85215028	61.47969876	62.21281104	63.08355085	64.27339923	65.70715313
"More developed regions"	901	63.35514431	65.4283479	66.59787941	67.09793706	67.61819414	68.30675738	69.07155997	70.28239985	70.18994484	70.98257276	71.88753273	73.41238501
"Less developed regions"	902	41.91773085	43.86159528	44.81524622	51.97504869	54.0114505	56.56038591	57.95138535	59.70972483	60.74463691	61.68880147	62.89933641	64.23857387
"Least developed countries"	941	36.49731578	38.67632908	40.6214193	42.59798907	40.29247951	45.92019445	47.81294698	49.22803582	49.7252832	51.54471851	53.72580312	55.85654728
"Other less developed countries"	934	42.73041376	44.63445194	45.47030419	53.44215856	56.31403422	58.36616238	59.74811529	61.60190374	62.83499933	63.74943877	64.85996869	66.10721647
"Less developed regions, excluding China"	948	40.82243202	43.75983854	46.48991974	49.04493734	50.57759104	53.78391903	55.25315194	57.14091271	58.32346336	59.43911303	60.92277352	62.39751925
"Sub-Saharan Africa"	947	35.75724733	37.80147367	39.75407929	41.59308021	43.68595183	45.44508258	46.72445928	47.49644339	47.13496981	47.60642062	49.08593882	51.44967756
"Africa"	903	36.91364122	39.01586502	41.03536205	42.97338275	45.12782993	47.05363994	48.61801833	49.68105222	49.61889164	50.22689913	51.75179547	53.98976246
"Eastern Africa"	910	36.0611108	38.3892254	40.88170361	42.88669339	44.82389992	46.29542834	47.03472991	47.79269249	46.28171859	48.0350966	49.85455641	53.41847885
"Burundi"	108	37.46	38.95	40.44	41.92	42.42	44.261	45.88	46.23	43.16	44.08	45.73	47.48
"Comoros"	174	39.5	41	43	45	47	49	51	53	54.33	55.67	57	58.33
"Djibouti"	262	33.3	35.8	38.21	40.57	42.88	45.07	47.75	49.21	50.55	51.81	53.23	55.24
"Eritrea"	232	34.38	36.38	38.41	40.38	42.3	42.52	42	44.41	48.06	52.22	55.2	57.61
"Ethiopia"	231	32.8	35.3	38.58	40.64	42.08	43.08	42.1	44.51	46.75	49.12	51.78	55.7
"Kenya"	404	40.54	43	46	48.71	51.65	54.37	57.04	57.73	56.59	52.6	51.05	53.96
"Madagascar"	450	36.39	38.39	40.28	42.28	43.97	45.97	48.2	48.4	51.4	55.87	60.49	64.27
"Malawi"	454	35.8	36.7	37.8	38.8	41	42.54	44.29	45.51	46.14	45.48	46.77	51.51
"Mauritius"	480	49.02	53.95	59.39	60.76	60.73	61.47	64.52	64.74	66.65	66.74	68.85	69.49
"Mayotte"	175	44.43	50.13	54.17	57.51	60.31	62.73	64.89	66.85	68.68	70.41	72.07	73.69
"Mozambique"	508	30.1	32.5	34.8	36.65	38.8	40.95	41.28	41.2	42.44	44.96	46.01	47.56
"Reunion"	638	44.43	50.13	54.17	57.51	60.31	62.73	64.89	66.85	68.68	70.41	72.07	73.69
"Rwanda"	646	38.45	39.91	41.39	42.47	43	44.24	48.22	43.69	21.99	40.6	48.65	52.7
"Somalia"	706	31.54	33.51	35.49	37.47	39.45	40.44	42.4	44.4	41.8	45.3	47.8	48.71
"Uganda"	800	38.47	41.07	43.84	46.61	49.6	48.79	48.23	47.07	43.84	43.7	47.49	51.68
"United Republic of Tanzania"	834	39.59	41.36	42.62	44.15	46.03	48.2	49.18	49.57	48.43	48.73	50.93	54.62
"Zambia"	894	40.6	42.6	44.6	46.3	48.57	49.95	50.26	48.2	44.03	42.1	42.26	46.49
"Zimbabwe"	716	47	49	50.9	52.5	54.1	56.1	58.57	59.68	56.38	47.76	43.75	47.45
"Middle Africa"	911	35.45209691	37.24225659	38.92041661	40.75493601	42.82887641	44.34595185	45.51501207	46.02952568	46.13486033	45.08466333	46.21540388	47.14672931
"Angola"	24	28.59	30.55	32.53	34.5	36.48	38.26	38.97	39.2	39.49	41.85	45.88	48.21
"Cameroon"	120	37.22	39.14	41.37	43.54	45.91	48.53	50.61	51.75	51.41	49.75	48.51	49.02
"Central African Republic"	140	32.03	34	35.98	38.46	42	45.45	47.22	47.14	45.59	42.91	42.24	44.47
"Chad"	148	35.71	37.5	39.35	41.26	42.87	44.79	47.24	48.84	48.78	47.71	46.7	47.15
"Congo"	178	42.27	45.7	48.83	50.98	52.77	54.13	55.24	55.59	54.02	53.26	53.48	54.88
"Dem. Republic of the Congo"	180	37.6	39.09	40.17	41.53	43.32	44.04	44.8	45.14	45.53	43.82	45.34	45.93
"Equatorial Guinea"	226	33.03	34.51	36	37.48	39	40.5	42.11	44.19	46.09	47.1	47.51	48.87
"Gabon"	266	35.48	37.46	38.94	43.05	47.14	51.18	55.34	59.02	59.86	59.22	58.2	60.24
"Sao Tome and Principe"	678	45.15	47.6	50.5	53	55	58	58.92	59.68	60.39	61.01	61.57	62.46
"Northern Africa"	912	41.56715952	43.60199849	45.68284361	48.02121574	50.46724925	53.21958867	56.16544937	58.82656441	61.19244511	63.48638796	66.0342754	67.50046647
"Algeria"	12	42.1	44.7	47.3	50.4	53.5	57	60.2	64.7	66.55	67.87	69.72	70.86
"Egypt"	818	42.1	44.1	46.1	48.4	50.8	53.5	56.3	59	62.03	65.66	68.64	70.46
"Libyan Arab Jamahiriya"	434	41.9	44.3	46.7	49	51.4	56	60.6	64.5	66.9	69.3	70.48	71.7
"Morocco"	504	41.865	44.256	46.645	48.932	51.317	53.996	58	60.9	63.5	65.6	67.5	68.96
"Sudan"	736	38.63	39.63	40.88	42.8	44.77	46.9	48.83	50.2	51.98	53.73	57.21	58.59
"Tunisia"	788	44.1	46.6	49.1	51.6	55.1	58.8	62.7	65.33	68.3	70.07	71.07	71.89
"Western Sahara"	732	34.01	35.98	37.96	39.9	41.9	46.18	50.47	54.75	57.25	59.75	62.26	64.27
"Southern Africa"	913	43.59431695	46.14215367	47.7487849	49.25328879	50.82615373	52.46841233	55.0693131	57.32093675	57.76731757	54.5542375	50.15046434	50.34007392
"Botswana"	72	45.65	47.75	49.7	51.5	54.1	57.2	59.57	61.69	61.03	53.91	48.77	53.8
"Lesotho"	426	40.37	43.33	46.04	46.75	48.06	50.5	53.5	55.5	58.21	51.32	44.4	46.46
"Namibia"	516	39.5	43.1	46.3	49.2	51.95	54.54	57.02	58.35	59.07	58.09	56.1	60.35
"South Africa"	710	44	46.5	48	49.52	51	52.5	55.07	57.35	57.7	54.72	50.36	50.13
"Swaziland"	748	39.45	41.51	43.09	44.73	47.62	50.65	53.97	56.77	57.49	51.78	45.63	47.56
"Western Africa"	914	33.81855062	35.67223897	37.37701169	39.15296669	41.47212771	43.56784802	45.10842549	45.70531867	46.0255993	46.47261489	48.86754218	51.40076583
"Benin"	204	30.95	32.9	34.37	35.84	38.55	41.1	43.17	44.69	46.95	49.16	50.9	52.72
"Burkina Faso"	854	30.79	33.48	36.06	38.5	41.15	43.86	46.28	47.1	47.49	48.33	50.28	52.84
