"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
"Kenya"	404	7.481	7.785	8.065	8.11	7.99	7.64	7.216	6.538	5.566	5.072	5	4.8
"Madagascar"	450	7.3	7.3	7.3	7.3	7.3	7	6.1	6.3	6.139	5.801	5.278	4.83
"Malawi"	454	6.78	6.84	7	7.2	7.4	7.5	7.3	7	6.5	6.2	6.032	6
"Mauritius"	480	5.895	5.895	6.195	4.61	3.466	3.105	2.3015	2.3118	2.2465	2.0332	1.9335	1.6646
"Mayotte"	175	7.91	7.91	7.91	7.91	7.91	7.91	7.3504	6.727	5.08	4.7625	4.445	4.3
"Mozambique"	508	6.6	6.6	6.6	6.6	6.575	6.525	6.4444	6.3306	6.1194	5.8466	5.5189	5.1133
"Reunion"	638	6.9294	6.5699	6.5632	5.6722	3.875	3.12	2.7765	2.713	2.405	2.3279	2.445	2.3969
"Rwanda"	646	8	8.15	8.15	8.1	8.2	8.25	8.25	7.8	6.3	6	5.6	5.43
"Somalia"	706	7.25	7.25	7.25	7.25	7.1	7	6.7	6.7	6.5	6.5	6.5	6.4
"Uganda"	800	6.9	6.95	7.05	7.12	7.1	7.1	7.1	7.1	7.063	6.946	6.745	6.38
"United Republic of Tanzania"	834	6.74	6.801	6.8	6.79	6.75	6.73	6.55	6.36	6.05	5.75	5.66	5.579
"Zambia"	894	6.75	6.9	7.15	7.4	7.425	7.375	6.95	6.658	6.3	6.2	6.1	6.2
"Zimbabwe"	716	6.8	7	7.3	7.4	7.4	7.3	6.74	5.656	4.773	4.054	3.739	3.47
"Middle Africa"	911	6.0336	6.0875	6.2051	6.308	6.4081	6.5312	6.6578	6.7124	6.6835	6.4788	6.2087	5.6748
"Angola"	24	7	7.2	7.4	7.4	7.2	7.2	7.2	7.2	7.102	6.924	6.627	5.785
"Cameroon"	120	5.68	5.68	5.9	6.1	6.3	6.4	6.4	6.1	5.7	5.1	4.917	4.67
"Central African Republic"	140	5.516	5.75	5.9	5.95	5.95	5.95	5.95	5.9	5.65	5.54	5.3	4.8465
"Chad"	148	6.1	6.2	6.3	6.4	6.6	6.737	6.751	6.698	6.647	6.619	6.542	6.2
"Congo"	178	5.684	5.786	5.989	6.192	6.293	6.293	5.994	5.547	5.207	5.0132	4.85	4.64
"Dem. Republic of the Congo"	180	5.98	5.98	6.04	6.15	6.289	6.462	6.72	6.975	7.136	7.036	6.703	6.074
"Equatorial Guinea"	226	5.501	5.499	5.53	5.658	5.68	5.68	5.79	5.89	5.89	5.868	5.638	5.36
"Gabon"	266	4	4	4.25	4.5	4.9	5.1	5.2	5.15	5.1	4.366	3.78	3.35
"Sao Tome and Principe"	678	6.2	6.2	6.3	6.4	6.5155	6.495	6.2372	5.6587	5.1633	4.7963	4.3408	3.8535
"Northern Africa"	912	6.8329	6.9479	6.933	6.7988	6.5494	6.1575	5.7061	5.0021	4.1621	3.5524	3.2103	2.9719
"Algeria"	12	7.278	7.278	7.38	7.38	7.38	7.175	6.49	5.29	4.131	2.885	2.5263	2.3828
"Egypt"	818	6.37	6.65	6.55	6.2	5.7	5.5	5.2	4.8	3.9	3.5	3.15	2.85
"Libyan Arab Jamahiriya"	434	6.868	6.97	7.175	7.483	7.585	7.38	7.175	5.65	4.1	3.25	3	2.7242
"Morocco"	504	7.18	7.18	7.15	7.09	6.89	5.9	5.4	4.447	3.66	2.968	2.522	2.376
"Sudan"	736	6.65	6.65	6.6	6.6	6.6	6.5187	6.3379	6.0828	5.8092	5.51	5.1346	4.6024
"Tunisia"	788	6.93	7.04	7.25	6.89	6.21	5.69	4.92	4.14	3.125	2.317	2.038	2.0425
"Western Sahara"	732	6.6	6.6	6.6	6.6	6.6	6.1	5.6	4.9	4.156	3.53	3.007	2.698
"Southern Africa"	913	6.2245	6.24	6.1982	5.7711	5.5722	5.1432	4.7139	4.1617	3.5058	3.0967	2.9041	2.6401
"Botswana"	72	6.5	6.575	6.65	6.7	6.546	6.366	5.965	5.109	4.321	3.7	3.18	2.896
"Lesotho"	426	5.84	5.861	5.811	5.8	5.8	5.686	5.459	5.135	4.701	4.373	3.793	3.373
"Namibia"	516	6	6.1	6.2	6.3	6.6	6.6	6.2	5.547	4.912	4.292	3.808	3.401
"South Africa"	710	6.5	6.5	6.3	5.7	5.47	5	4.556	4	3.343	2.954	2.802	2.55
"Swaziland"	748	6.7	6.7	6.75	6.849	6.866	6.733	6.537	6.132	5.295	4.491	4.01	3.574
"Western Africa"	914	6.3374	6.4189	6.5178	6.6061	6.8011	6.8906	6.8308	6.6044	6.2682	5.9502	5.7112	5.4832
"Benin"	204	5.857	6.1341	6.4228	6.6491	6.8349	6.9952	7.0087	6.8818	6.5629	6.1566	5.7901	5.4846
"Burkina Faso"	854	6.1035	6.243	6.35	6.5627	6.7	7.0182	7.0553	6.9445	6.7117	6.3987	6.1372	5.9446
"Cape Verde"	132	6.5663	6.764	6.9728	6.9654	6.8639	6.615	6.1	5.6344	4.9303	4.1449	3.2769	2.6043
"Cote d'Ivoire"	384	6.7739	7.1544	7.5325	7.8254	7.9261	7.8123	7.3125	6.61	5.9198	5.3074	5.0485	4.6453
"Gambia"	270	5.2875	5.4639	5.6969	5.9633	6.2023	6.3384	6.2918	6.1417	6.0261	5.8039	5.4551	5.0979
"Ghana"	288	6.442	6.6391	6.8436	6.9514	6.8975	6.6878	6.3494	5.8817	5.3426	4.8144	4.5465	4.3363
"Guinea"	324	6	6.2425	6.509	6.8032	6.8487	6.9117	6.9473	6.8612	6.5811	6.1876	5.7997	5.4514
"Guinea-Bissau"	624	7.4092	5.8746	5.8746	4.7815	7.3433	6.1069	6.6982	6.6834	6.5378	6.0471	5.6587	5.2665
"Liberia"	430	6.2714	6.3502	6.4695	6.5923	6.7989	6.9317	6.9555	6.7229	6.3037	6.0095	5.6926	5.4235
"Mali"	466	6.4828	6.646	6.7528	6.8714	6.9253	7.0076	7.0734	7.0904	7.012	6.8826	6.7135	6.4577
"Mauritania"	478	6.3378	6.7053	6.7863	6.7896	6.7498	6.5726	6.2758	6.0644	5.7841	5.399	5.0449	4.7071
"Niger"	562	6.8604	6.963	7.129	7.3171	7.5168	7.6297	7.7597	7.8098	7.7798	7.6038	7.3968	7.1944
"Nigeria"	566	6.3544	6.3544	6.3544	6.3544	6.6094	6.7629	6.7559	6.5582	6.2322	5.9855	5.7919	5.6118
"Senegal"	686	6.0475	6.4203	6.8514	7.2455	7.4502	7.4971	7.2838	6.8998	6.361	5.7742	5.3568	5.0255
"Sierra Leone"	694	6.0296	6.0296	6.0296	5.9801	5.7528	5.6311	5.5164	5.5936	5.8087	5.8354	5.5581	5.2154
"Togo"	768	6.3344	6.4217	6.6518	6.937	7.1986	7.2768	7.0567	6.5835	5.9926	5.3844	4.8329	4.3038
"Asia"	935	5.8198	5.58	5.5848	5.6113	5.0006	4.0496	3.6914	3.4349	2.9714	2.6528	2.4109	2.2808
"Eastern Asia"	906	5.5891	5.0171	5.0475	5.2771	4.3563	2.7904	2.5268	2.5119	1.9733	1.7623	1.6512	1.6135
"China"	156	6.107	5.476	5.607	5.937	4.765	2.926	2.614	2.629	2.012	1.8	1.7	1.64
"China, Hong Kong SAR"	344	4.44	4.72	5.31	3.645	3.29	2.31	1.715	1.355	1.24	0.87	0.805	0.985
"China, Macao SAR"	446	4.3858	5.1088	4.4077	2.7367	1.793	1.4079	1.9769	1.9411	1.405	1.116	0.8252	1.015
"Dem. People's Rep. of Korea"	408	2.7	3.8	3.41	4.09	3.72	2.58	2.93	2.45	2.4	2.2	2.05	2.05
"Japan"	392	2.999	2.155	1.986	2.02	2.134	1.831	1.752	1.664	1.476	1.369	1.298	1.32
"Mongolia"	496	5.6	6.3	7.5	7.5	7.5	6.65	5.75	4.9	3.3	2.5	2.1	2.5
"Republic of Korea"	410	5.05	6.332	5.63	4.708	4.281	2.919	2.234	1.601	1.696	1.514	1.219	1.2874
"Taiwan, Province of China"	158	5.903	6.0602	5.2875	4.4125	3.3825	2.64	2.1975	1.845	1.7925	1.7275	1.43	1.1
"South-Central Asia"	921	6	6.028	5.994	5.8713	5.5236	5.2033	4.8336	4.4354	3.9508	3.4623	3.0245	2.7634
"Central Asia"	5500	4.6387	4.9202	5.3264	4.9614	4.631	4.0666	3.8396	3.8575	3.5452	2.8725	2.547	2.6094
"Kazakhstan"	398	4.406	4.555	4.431	3.671	3.459	3.06	2.957	3.033	2.55	2	2.006	2.5406
"Kyrgyzstan"	417	4.509	4.834	5.39	5.011	4.726	4.054	4.101	4.019	3.612	2.986	2.5	2.7029
"Tajikistan"	762	5.995	6.199	6.302	6.719	6.834	5.897	5.543	5.406	4.877	4.29	3.805	3.45
"Turkmenistan"	795	5.995	6.015	6.752	6.343	6.187	5.324	4.79	4.55	4.03	3.03	2.755	2.499
"Uzbekistan"	860	5.97	6.5	6.8	6.6	6.3	5.584	4.726	4.4	3.88	3.05	2.55	2.455
"Southern Asia"	5501	6.0567	6.0747	6.026	5.9214	5.5687	5.2538	4.8762	4.4595	3.9675	3.4859	3.0435	2.7705
"Afghanistan"	4	7.7	7.7	7.7	7.7	7.7	7.7	7.8	7.9	8	8	7.3494	6.6241
"Bangladesh"	50	6.3558	6.6244	6.7987	6.9142	6.9136	6.6456	5.9921	5.0189	4.0984	3.4071	2.8695	2.3814
"Bhutan"	64	6.67	6.67	6.67	6.67	6.67	6.67	6.3885	6.1064	5.2699	4.1281	3.2945	2.6101
"India"	356	5.9032	5.8961	5.8216	5.6873	5.264	4.8888	4.4731	4.1084	3.7199	3.3105	2.9598	2.726
"Iran (Islamic Republic of)"	364	6.9264	6.9264	6.9264	6.7035	6.2386	6.2726	6.538	5.62	3.95	2.6235	1.9636	1.7653
"Maldives"	462	6.0299	6.8135	7.1197	7.2226	7.1698	6.8547	7.2575	6.8126	5.2478	3.521	2.4925	1.9019
"Nepal"	524	6.102	6.102	6.1011	6.079	6.0354	5.9188	5.7156	5.3936	4.9575	4.4072	3.7394	2.949
"Pakistan"	586	6.6	6.6	6.6	6.6	6.6	6.6	6.444	6.2967	5.6691	4.9945	4.003	3.6506
"Sri Lanka"	144	5.8	5.8	5.2	4.7	4	3.6064	3.1894	2.6396	2.3865	2.16	2.2688	2.3597
"South-Eastern Asia"	920	6.0532	6.2175	6.2445	6.0639	5.6181	4.8099	4.2236	3.5921	3.1048	2.655	2.4465	2.2648
"Brunei Darussalam"	96	6.999	6.3754	6.5546	5.5933	5.8721	4.7061	3.9232	3.7191	3.2774	2.5992	2.2803	2.11
"Cambodia"	116	6.294	6.294	6.291	6.216	5.535	4.7	7.0003	6	5.4425	4.3147	3.406	2.7977
"Indonesia"	360	5.486	5.672	5.62	5.568	5.3	4.73	4.109	3.4	2.9	2.55	2.381	2.19
"Lao People's Dem. Republic"	418	5.9432	5.9552	5.9673	5.9794	5.9915	6.1535	6.3601	6.2668	5.8833	4.8064	3.7037	3.0151
"Malaysia"	458	6.2302	6.2302	6.2302	5.2102	4.5614	3.9275	3.727	3.5913	3.42	3.175	2.9561	2.7159
"Myanmar"	104	6	6	6.1	6.1	5.9	4.9	4.3	3.8	3.1	2.65	2.2492	2.075
"Philippines"	608	7.4201	7.2692	6.9807	6.5392	5.9769	5.4623	4.9215	4.5271	4.1385	3.9	3.7	3.27
"Singapore"	702	6.61	6.335	5.12	3.645	2.815	1.84	1.59	1.7	1.835	1.575	1.325	1.252
"Thailand"	764	6.1378	6.1378	6.1297	5.985	5.052	3.915	2.945	2.3	1.9925	1.7671	1.6797	1.6271
"Timor-Leste"	626	6.441	6.353	6.371	6.156	5.535	4.305	5.39	5.209	5.685	7.005	6.955	6.53
"Viet Nam"	704	6.2002	6.7595	7.3286	7.3756	7.1474	5.888	4.9322	3.9642	3.2259	2.1843	1.9312	1.886
"Western Asia"	922	6.1001	5.9122	5.9758	5.8516	5.6037	5.3279	5.0196	4.4481	4.0356	3.5772	3.1837	3.0242
"Armenia"	51	4.494	4.494	4.453	3.447	3.037	2.503	2.376	2.575	2.38	1.75	1.721	1.735
"Azerbaijan"	31	5.493	5.41	5.637	4.935	4.289	3.624	3.036	2.95	2.9	2.2	2	2.156
"Bahrain"	48	6.97	6.97	7.175	6.97	5.945	5.228	4.633	4.08	3.353	2.8884	2.623	2.6258
"Cyprus"	196	3.705	3.498	3.436	2.795	2.49	2.287	2.449	2.428	2.3293	1.8891	1.591	1.5068
"Georgia"	268	3	2.909	2.979	2.611	2.601	2.39	2.269	2.263	2.05	1.72	1.58	1.58
"Iraq"	368	7.3	6.202	6.598	7.4	7.15	6.8	6.35	6.15	5.8	5.4	5.1243	4.8628
"Israel"	376	4.2771	3.8916	3.8462	3.7826	3.8072	3.4656	3.134	3.071	2.9328	2.9329	2.9106	2.9096
"Jordan"	400	7.38	7.38	7.995	7.995	7.79	7.38	7.0485	6.4444	5.14	4.3364	3.6022	3.2728
"Kuwait"	414	7.207	7.207	7.308	7.41	6.902	5.887	5.098	3.3396	2.2025	2.9262	2.2389	2.3237
"Lebanon"	422	5.74	5.72	5.689	5.336	4.78	4.311	3.895	3.313	3	2.695	2.091	1.862
"Occupied Palestinian Territory"	275	7.38	7.38	7.995	7.995	7.694	7.504	7.0491	6.43	6.5933	5.766	5.0452	4.6479
"Oman"	512	7.252	7.252	7.252	7.3091	7.4077	8.1	8.3166	7.8479	6.2743	4.4644	3.0098	2.5158
"Qatar"	634	6.97	6.97	6.97	6.97	6.765	6.109	5.453	4.4955	4.0116	3.3026	3.0116	2.4044
"Saudi Arabia"	682	7.175	7.175	7.257	7.257	7.298	7.278	7.015	6.217	5.446	4.5055	3.539	3.0251
"Syrian Arab Republic"	760	7.227	7.3755	7.5385	7.5598	7.5426	7.3164	6.767	5.873	4.8041	3.9575	3.3942	3.1041
"Turkey"	792	6.3	6.15	6.05	5.7	5.3	4.715	4.15	3.276	2.904	2.574	2.23	2.152
"United Arab Emirates"	784	6.97	6.97	6.868	6.765	6.355	5.658	5.228	4.825	3.875	2.966	2.3844	1.8556
"Yemen"	887	7.2696	7.2775	7.3347	7.5206	7.6733	8.5756	9.2293	8.9303	8.2364	6.9781	6.095	5.4752
"Europe"	908	2.6482	2.6371	2.5594	2.3483	2.1737	1.9838	1.8854	1.8172	1.5672	1.4243	1.4295	1.5309
"Eastern Europe"	923	2.8242	2.7479	2.4439	2.1186	2.1373	2.0723	2.0883	2.1076	1.6236	1.29	1.2644	1.4045
"Belarus"	112	2.61	2.73	2.69	2.38	2.25	2.09	2.088	2.045	1.677	1.308	1.2353	1.387
"Bulgaria"	100	2.48	2.27	2.18	2.15	2.17	2.17	2.01	1.92	1.506	1.224	1.252	1.458
"Czech Republic"	203	2.6782	2.3739	2.2367	1.9581	2.1917	2.3199	2.0039	1.9304	1.6554	1.1772	1.1872	1.4066
"Hungary"	348	2.73	2.21	1.82	1.98	2.09	2.12	1.81	1.82	1.73	1.377	1.301	1.3356
"Poland"	616	3.62	3.29	2.65	2.27	2.25	2.26	2.33	2.15	1.89	1.478	1.2663	1.3174
"Republic of Moldova"	498	3.5	3.44	3.15	2.66	2.56	2.44	2.55	2.64	2.111	1.7	1.5	1.5
"Romania"	642	2.87	2.62	2.04	2.96	2.622	2.523	2.245	2.27	1.501	1.347	1.2787	1.3317
"Russian Federation"	643	2.85	2.82	2.55	2.02	2.03	1.94	2.04	2.121	1.545	1.247	1.298	1.4389
"Slovakia"	703	3.5022	3.2427	2.911	2.541	2.5067	2.464	2.271	2.1537	1.8667	1.4105	1.2205	1.2663
"Ukraine"	804	2.81	2.7	2.2	2.04	2.16	2	2.021	2.034	1.644	1.225	1.153	1.3875
"Northern Europe"	924	2.3252	2.515	2.7219	2.5017	2.0679	1.8039	1.7978	1.8506	1.8003	1.7035	1.6617	1.8271
"Channel Islands"	830	2.056	2.222	2.562	2.362	1.858	1.523	1.439	1.45	1.461	1.4	1.414	1.42
"Denmark"	208	2.5501	2.5468	2.5822	2.2723	1.9639	1.6816	1.4273	1.5426	1.748	1.756	1.76	1.8509
"Estonia"	233	2.06	1.99	1.94	2.02	2.15	2.06	2.09	2.199	1.627	1.331	1.391	1.639
"Finland"	246	2.997	2.769	2.66	2.191	1.623	1.663	1.685	1.66	1.819	1.743	1.754	1.8396
"Iceland"	352	3.7	4.023	3.943	3.154	2.843	2.287	2.248	2.116	2.194	2.056	1.993	2.098
"Ireland"	372	3.42	3.58	4.065	3.765	3.815	3.245	2.755	2.18	1.905	1.94	1.965	2.0956
"Latvia"	428	2	1.95	1.85	1.81	2	2	2	2.09	1.627	1.171	1.249	1.4123
"Lithuania"	440	2.71	2.66	2.4	2.27	2.32	2.12	2.03	2.09	1.812	1.471	1.277	1.4074
"Norway"	578	2.602	2.837	2.898	2.719	2.248	1.81	1.687	1.8	1.886	1.862	1.8061	1.9235
"Sweden"	752	2.213	2.234	2.324	2.16	1.891	1.661	1.646	1.909	2.006	1.555	1.67	1.8976
"United Kingdom"	826	2.18	2.49	2.81	2.57	2.01	1.73	1.775	1.835	1.775	1.735	1.655	1.83
"Southern Europe"	925	2.6424	2.6035	2.6721	2.6784	2.5501	2.2584	1.8312	1.5519	1.4114	1.3284	1.3501	1.4314
"Albania"	8	5.597	5.978	5.763	5.113	4.658	4.202	3.9	3.65	2.78	2.483	1.99	1.6
"Bosnia and Herzegovina"	70	4.82	4.28	3.81	3.17	2.63	2.24	1.99	1.9	1.53	1.535	1.276	1.18
"Croatia"	191	2.76	2.42	2.27	2.09	1.96	2.02	1.96	1.84	1.52	1.537	1.362	1.42
"Greece"	300	2.29	2.27	2.2	2.38	2.32	2.32	1.96	1.53	1.37	1.296	1.281	1.4597
"Italy"	380	2.355	2.29	2.466	2.515	2.351	1.941	1.536	1.342	1.281	1.215	1.254	1.3772
"Malta"	470	4.136	3.8	3.1495	2.1161	2.0057	2.1176	2.043	2.0674	2.0055	1.8054	1.4079	1.3299
"Montenegro"	499	3.22	2.75	2.57	2.43	2.36	2.37	2.17	1.965	1.808	1.838	1.781	1.69
"Portugal"	620	3.0988	3.1216	3.1873	3.1187	2.8332	2.5486	2.0084	1.6205	1.505	1.4764	1.4513	1.3633
"Serbia"	688	3.22	2.75	2.57	2.43	2.36	2.37	2.32	2.23	1.96	1.744	1.723	1.618
"Slovenia"	705	2.8	2.39	2.32	2.32	2.19	2.2	1.875	1.66	1.36	1.25	1.226	1.3857
"Spain"	724	2.53	2.7	2.81	2.84	2.85	2.55	1.88	1.46	1.28	1.19	1.29	1.41
"TFYR Macedonia"	807	5.32	4.53	3.785	3.385	2.81	2.549	2.328	2.178	2.056	1.801	1.562	1.46
"Western Europe"	926	2.4203	2.4882	2.6665	2.4767	1.9727	1.6635	1.6329	1.5844	1.4873	1.5165	1.5825	1.6302
"Austria"	40	2.08	2.497	2.783	2.572	2.04	1.654	1.594	1.444	1.465	1.371	1.39	1.383
"Belgium"	56	2.343	2.496	2.644	2.392	2.015	1.705	1.595	1.559	1.613	1.604	1.689	1.7931
"France"	250	2.7633	2.7034	2.8451	2.6517	2.3081	1.8608	1.8647	1.8042	1.7143	1.7615	1.882	1.9693
"Germany"	276	2.16	2.3	2.49	2.32	1.64	1.52	1.46	1.43	1.2993	1.3429	1.3488	1.3563
"Luxembourg"	442	1.98	2.23	2.395	2.192	1.722	1.486	1.465	1.469	1.663	1.7213	1.654	1.6173
"Netherlands"	528	3.0524	3.0973	3.1657	2.7968	2.0612	1.598	1.5147	1.5548	1.5831	1.5996	1.7254	1.7449
"Switzerland"	756	2.31	2.3912	2.5971	2.355	1.871	1.5386	1.5367	1.5452	1.537	1.4831	1.4078	1.4592
"Latin America and the Caribbean"	904	5.862	5.9146	5.9561	5.5297	5.0151	4.4651	3.9278	3.417	3.022	2.7295	2.5254	2.3002
"Caribbean"	915	5.2693	5.1953	5.4836	5.0012	4.3677	3.6218	3.4129	3.1348	2.8363	2.6228	2.4932	2.3637
"Aruba"	533	5.65	5.15	4.399	3.301	2.651	2.45	2.358	2.3	2.1739	1.9531	1.8162	1.7356
"Bahamas"	44	4.05	4.31	4.5	3.5756	3.5367	2.9547	3.0503	2.6498	2.6376	2.3275	1.8653	1.9076
"Barbados"	52	4.4169	4.2969	4.2732	3.5328	2.7176	2.1568	1.9181	1.7744	1.7295	1.6346	1.5	1.53
"Cuba"	192	4.15	3.6995	4.6805	4.3	3.6	2.15	1.8495	1.8495	1.6505	1.6095	1.63	1.5
"Dominican Republic"	214	7.6	7.641	7.351	6.65	5.68	4.76	4.15	3.65	3.31	2.98	2.83	2.67
"Grenada"	308	5.8	6.7	6.4	4.8	4.6	4.3	4.23	4.14	3.46	2.8144	2.4289	2.3023
"Guadeloupe"	312	5.61	5.61	5.61	5.22	4.49	3.06	2.55	2.45	2.097	2.1	2.059	2.1431
"Haiti"	332	6.3	6.3	6.3	6	5.601	5.8	6.21	5.7	5.15	4.619	4	3.545
"Jamaica"	388	4.22	5.08	5.64	5.78	5	4	3.55	3.1	2.84	2.67	2.5416	2.3995
"Martinique"	474	5.71	5.71	5.45	5	4.08	2.65	2.14	2.14	1.962	1.9	1.9771	1.9108
"Netherlands Antilles"	530	5.65	5.15	4.399	3.301	2.651	2.45	2.358	2.3	2.28	2.121	2.0915	1.9792
"Puerto Rico"	630	4.97	4.82	4.37	3.41	2.99	2.76	2.46	2.26	2.18	1.985	1.8382	1.83
"Saint Lucia"	662	6	6.938	6.794	6.479	5.691	5.2	4.2	3.65	3.15	2.6	2.1	2.0483
"St. Vincent and the Grenadines"	670	7.33	7.33	7.02	6.41	5.54	4.42	3.64	3.1	2.85	2.55	2.237	2.132
"Trinidad and Tobago"	780	5.3	5.3	4.99	3.79	3.45	3.4	3.22	2.8	2.1	1.729	1.61	1.64
"United States Virgin Islands"	850	5.57	5.57	5.5019	5.3656	4.9772	4.3365	3.6959	3.0854	3.0915	2.5	2.15	2.05
"Central America"	916	6.7284	6.8125	6.7614	6.6785	6.3816	5.3586	4.5033	3.9029	3.4718	2.9637	2.7712	2.5952
"Belize"	84	6.65	6.55	6.45	6.35	6.25	6.2	5.4	4.7	4.347	3.85	3.35	2.935
"Costa Rica"	188	6.724	7.114	7.225	5.801	4.346	3.776	3.527	3.374	2.945	2.584	2.25	1.92
"El Salvador"	222	6.298	6.598	6.759	6.428	5.949	5.459	4.799	4.199	3.728	3.298	2.599	2.349
"Guatemala"	320	7	6.6	6.5	6.3	6.2	6.201	6.1	5.701	5.45	5.001	4.6	4.152
"Honduras"	340	7.497	7.497	7.418	7.421	7.05	6.6	5.9995	5.37	4.916	4.3005	3.723	3.308
"Mexico"	484	6.7	6.8	6.7495	6.7495	6.5	5.2505	4.25	3.6295	3.1905	2.6705	2.55	2.41
"Nicaragua"	558	7.2	7.5	7.1	6.95	6.79	6.35	5.85	5	4.5	3.6	3	2.755
"Panama"	591	5.68	5.89	5.915	5.62	4.935	4.0545	3.515	3.201	2.87	2.79	2.7	2.5605
"South America"	931	5.6658	5.7171	5.7476	5.213	4.6383	4.2604	3.7854	3.2747	2.8764	2.6502	2.4307	2.1767
"Argentina"	32	3.154	3.1265	3.0895	3.049	3.1455	3.44	3.15	3.053	2.9	2.63	2.35	2.254
"Bolivia (Plurinational State of)"	68	6.75	6.75	6.63	6.56	6.5	5.8	5.2995	5	4.8	4.324	3.9585	3.5
"Brazil"	76	6.1505	6.1505	6.1505	5.38	4.7175	4.305	3.8	3.1	2.6	2.45	2.2505	1.9
"Chile"	152	4.95	5.486	5.4385	4.4405	3.63	2.803	2.671	2.65	2.55	2.21	2	1.9
"Colombia"	170	6.76	6.76	6.76	6.181	5.0005	4.34	3.6845	3.24	3	2.7525	2.55	2.45
"Ecuador"	218	6.7	6.7	6.7	6.5	6.001	5.401	4.701	4	3.401	3.1	2.818	2.578
"French Guiana"	254	5	4.92	5.02	5	4.18	3.3	3.58	3.73	4.05	3.9265	3.6758	3.2715
"Guyana"	328	6.68	6.77	6.15	6.11	4.9	3.94	3.26	2.7	2.55	2.5	2.425	2.33
"Paraguay"	600	6.5	6.5	6.45	6.15	5.3505	5.2	5.2	4.77	4.3095	3.88	3.48	3.083
"Peru"	604	6.853	6.853	6.853	6.56	6	5.378	4.65	4.1	3.57	3.1	2.8	2.5995
"Suriname"	740	6.56	6.56	6.56	5.945	5.289	4.203	3.7	3	2.6	2.8	2.5975	2.415
"Uruguay"	858	2.7305	2.831	2.9005	2.8	3	2.887	2.57	2.529	2.4865	2.3005	2.2005	2.115
"Venezuela (Bolivarian Republic of)"	862	6.4585	6.4585	6.657	5.9045	4.941	4.4685	3.957	3.6485	3.25	2.9415	2.723	2.547
"Northern America"	905	3.3301	3.6379	3.3556	2.5542	2.0521	1.804	1.7897	1.8672	1.9571	1.9254	1.9879	2.0331
"Canada"	124	3.645	3.882	3.675	2.61	1.976	1.734	1.634	1.616	1.694	1.562	1.516	1.6499
"United States of America"	840	3.446	3.706	3.314	2.545	2.016	1.788	1.8002	1.8922	1.9853	1.9645	2.038	2.0736
"Oceania"	909	3.8136	4.0221	4.0013	3.5684	3.3007	2.7391	2.575	2.488	2.4901	2.4501	2.4132	2.4928
"Australia/New Zealand"	927	3.2572	3.4979	3.4858	2.9796	2.6776	2.0564	1.922	1.8893	1.8955	1.806	1.7863	1.9626
"Australia"	36	3.18	3.406	3.274	2.871	2.535	1.989	1.91	1.859	1.86	1.776	1.753	1.9262
"New Zealand"	554	3.688	4.07	4.022	3.348	2.843	2.178	1.9727	2.0311	2.067	1.9525	1.949	2.1418
"Melanesia"	928	6.3052	6.3465	6.235	6.0107	5.7952	5.5436	5.175	4.7296	4.4899	4.3941	4.1332	3.9095
