"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
"World"	900	4.9542	4.8903	4.9122	4.8494	4.4467	3.8373	3.5862	3.393	3.041	2.7895	2.6166	2.5215
"More developed regions"	901	2.8136	2.7805	2.6637	2.3641	2.1598	1.9312	1.8472	1.8093	1.6578	1.555	1.5748	1.6623
"Less developed regions"	902	6.0739	5.9411	5.9711	5.9369	5.3693	4.5384	4.1551	3.8451	3.3854	3.0606	2.8227	2.6746
"Least developed countries"	941	6.5399	6.6007	6.6811	6.7344	6.7133	6.575	6.453	6.1446	5.7409	5.3065	4.8475	4.4099
"Other less developed countries"	934	6.0119	5.8522	5.8744	5.8311	5.1946	4.276	3.8658	3.5612	3.0868	2.7609	2.5345	2.4071
"Less developed regions, excluding China"	948	6.0578	6.1391	6.1324	5.9683	5.6492	5.2359	4.8453	4.398	3.9591	3.553	3.2436	3.028
"Sub-Saharan Africa"	947	6.5302	6.569	6.6395	6.6529	6.7084	6.6939	6.5833	6.3869	6.0543	5.7268	5.4419	5.0997
"Africa"	903	6.5967	6.6555	6.7091	6.6844	6.6689	6.5697	6.3847	6.0727	5.6191	5.2262	4.935	4.6355
"Eastern Africa"	910	7.0133	7.0036	7.0678	7.077	7.0405	6.9762	6.8194	6.6577	6.2944	5.9202	5.5346	5.1095
"Burundi"	108	6.801	6.801	6.801	6.801	6.801	6.801	6.5	6.5	6.4528	6.081	5.405	4.66
"Comoros"	174	6	6.601	6.909	7.05	7.05	7.05	7.05	6	5.3	5.3	5.3	5.08
"Djibouti"	262	7.8	7.8	7.8	7.6	7.2	6.8	6.6	6.4	5.85	5.112	4.517	3.95
"Eritrea"	232	6.965	6.965	6.815	6.699	6.52	6.5	6.5	6.31	6.082	5.659	5.188	4.68
"Ethiopia"	231	7.1696	6.9023	6.8972	6.8691	6.8088	6.7644	6.9347	7.0573	6.9988	6.4835	5.6	4.6
