"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"WORLD"	900	67.09	68.2	69.17	70.09	70.95	71.75	72.52	73.24	73.92	74.57	75.18	75.77	76.34	76.9	77.43	77.95	78.46	78.97
"More developed regions"	901	74.61	75.6	76.49	77.28	77.99	78.65	79.28	79.9	80.52	81.14	81.75	82.34	82.92	83.48	84.03	84.56	85.08	85.6
"Less developed regions"	902	65.65	66.78	67.8	68.78	69.71	70.57	71.39	72.16	72.88	73.56	74.2	74.81	75.4	75.96	76.5	77.02	77.53	78.04
"Least developed countries"	941	57.63	59.21	60.65	62.06	63.42	64.72	65.95	67.1	68.18	69.18	70.13	71	71.83	72.62	73.36	74.06	74.74	75.39
"Less developed regions, excluding least developed countries"	934	67.49	68.59	69.58	70.5	71.36	72.14	72.89	73.59	74.25	74.87	75.46	76.03	76.57	77.1	77.61	78.1	78.59	79.07
"Less developed regions, excluding China"	948	64	65.28	66.42	67.51	68.53	69.49	70.38	71.22	72	72.74	73.42	74.07	74.7	75.3	75.87	76.42	76.95	77.48
"Sub-Saharan Africa"	947	53.8	55.72	57.33	58.94	60.51	62	63.44	64.8	66.07	67.27	68.38	69.41	70.38	71.3	72.16	72.97	73.75	74.5
"AFRICA"	903	56.14	57.87	59.32	60.78	62.19	63.55	64.85	66.08	67.24	68.33	69.34	70.29	71.18	72.02	72.82	73.58	74.31	75
"Eastern Africa"	910	56.19	58.06	59.63	61.1	62.44	63.7	64.9	66.05	67.13	68.16	69.14	70.08	71	71.88	72.73	73.54	74.33	75.09
"Burundi"	108	49.57	51.32	52.76	54.64	56.91	59.11	61.14	63.02	64.76	66.35	67.81	69.13	70.31	71.41	72.44	73.41	74.33	75.19
"Comoros"	174	60.32	62.02	63.59	65.03	66.34	67.52	68.6	69.59	70.49	71.33	72.1	72.82	73.5	74.13	74.73	75.3	75.85	76.37
"Djibouti"	262	56.96	58.91	60.62	62.25	63.76	65.08	66.28	67.58	68.77	69.73	70.69	71.47	72.24	72.92	73.64	74.28	74.9	75.5
"Eritrea"	232	59.74	61.57	63.21	64.71	66.05	67.26	68.34	69.32	70.23	71.07	71.84	72.56	73.24	73.88	74.5	75.08	75.65	76.2
"Ethiopia"	231	58.34	60.13	61.89	63.48	64.92	66.22	67.38	68.44	69.41	70.31	71.15	71.94	72.67	73.37	74.04	74.67	75.29	75.87
"Kenya"	404	56.7	58.26	59.69	61.09	62.44	63.67	64.83	65.93	66.95	67.9	68.79	69.65	70.49	71.31	72.09	72.84	73.57	74.29
"Madagascar"	450	65.22	66.9	68.37	69.53	70.44	71.28	72.05	72.78	73.45	74.09	74.7	75.27	75.82	76.34	76.84	77.32	77.79	78.24
"Malawi"	454	54.87	56.63	58.14	59.57	60.79	61.95	63.17	64.4	65.61	66.78	67.93	69.08	70.22	71.3	72.34	73.34	74.31	75.24
"Mauritius"	480	70.4	71.26	72.03	72.86	73.69	74.47	75.19	75.88	76.52	77.14	77.73	78.3	78.85	79.38	79.89	80.4	80.89	81.37
"Mayotte"	175	74.16	74.89	75.61	76.2	76.71	77.2	77.66	78.12	78.56	78.98	79.4	79.81	80.22	80.6	80.99	81.37	81.74	82.09
"Mozambique"	508	50	52.42	54.1	55.69	57.1	58.52	59.96	61.38	62.76	64.11	65.43	66.73	67.98	69.21	70.38	71.52	72.61	73.65
"Reunion"	638	74.16	74.89	75.61	76.2	76.71	77.2	77.66	78.12	78.56	78.98	79.4	79.81	80.22	80.6	80.99	81.37	81.74	82.09
"Rwanda"	646	54.47	55.84	57.7	59.43	60.96	62.39	63.78	65.11	66.35	67.48	68.52	69.5	70.43	71.32	72.14	72.91	73.66	74.37
"Somalia"	706	50.11	51.77	53.7	55.64	57.55	59.41	61.16	62.8	64.31	65.68	66.93	68.06	69.09	70.04	70.91	71.71	72.46	73.15
"Uganda"	800	53.83	55.08	56.09	57.35	58.81	60.29	61.74	63.13	64.46	65.72	66.92	68.05	69.14	70.16	71.14	72.07	72.95	73.8
"United Republic of Tanzania"	834	58.23	60.83	62.51	63.87	64.94	65.92	66.89	67.86	68.79	69.68	70.55	71.38	72.19	72.98	73.73	74.46	75.16	75.83
"Zambia"	894	49.17	50.53	52.38	54.1	55.62	57.09	58.68	60.29	61.89	63.45	64.98	66.48	67.94	69.34	70.68	71.92	73.07	74.1
"Zimbabwe"	716	53.99	57.5	58.99	60.1	60.88	61.66	62.6	63.69	64.97	66.36	67.77	69.18	70.57	71.95	73.23	74.44	75.64	76.97
"Middle Africa"	911	48.83	50.45	51.89	53.57	55.42	57.27	59.07	60.79	62.4	63.91	65.3	66.58	67.77	68.86	69.87	70.8	71.68	72.49
"Angola"	24	50.2	52.15	53.95	55.82	57.66	59.45	61.14	62.71	64.18	65.53	66.77	67.92	68.98	69.96	70.88	71.74	72.54	73.3
"Cameroon"	120	51.38	53.24	54.41	55.9	57.57	59.21	60.78	62.29	63.7	65.01	66.25	67.4	68.5	69.54	70.54	71.48	72.38	73.23
"Central African Republic"	140	47.73	50.16	52.03	53.98	55.92	57.84	59.64	61.32	62.87	64.31	65.61	66.78	67.86	68.84	69.72	70.52	71.26	71.97
"Chad"	148	48.64	50.16	51.84	53.77	55.67	57.55	59.37	61.09	62.7	64.2	65.58	66.86	68.04	69.13	70.13	71.06	71.93	72.75
"Congo"	178	56.64	58.16	59.28	60.63	62.07	63.49	64.81	66.05	67.21	68.29	69.29	70.21	71.06	71.87	72.61	73.31	73.98	74.62
"Democratic Republic of the Congo"	180	47.26	48.7	50.09	51.74	53.63	55.58	57.48	59.31	61.06	62.69	64.2	65.58	66.85	68.01	69.08	70.06	70.98	71.81
"Equatorial Guinea"	226	50.32	51.94	53.39	55.07	56.88	58.46	60.12	61.75	63.29	64.79	66.17	67.46	68.69	69.8	70.82	71.86	72.78	73.62
"Gabon"	266	62.26	63.87	65.09	66.28	67.23	68.22	69.12	70.02	70.91	71.74	72.54	73.29	74.05	74.78	75.52	76.2	76.78	77.42
"Sao Tome and Principe"	678	63.52	64.51	65.45	66.52	67.69	68.76	69.73	70.62	71.45	72.21	72.93	73.59	74.23	74.82	75.39	75.93	76.45	76.95
"Northern Africa"	912	68.66	69.7	70.66	71.56	72.42	73.23	73.98	74.68	75.32	75.93	76.52	77.07	77.59	78.1	78.58	79.05	79.52	79.97
"Algeria"	12	71.89	72.81	73.66	74.44	75.17	75.86	76.51	77.12	77.71	78.28	78.83	79.36	79.87	80.38	80.87	81.35	81.82	82.29
"Egypt"	818	71.57	72.52	73.39	74.2	74.94	75.64	76.3	76.93	77.53	78.1	78.65	79.19	79.71	80.22	80.71	81.19	81.67	82.14
"Libyan Arab Jamahiriya"	434	72.72	73.57	74.36	75.1	75.79	76.44	77.06	77.65	78.22	78.77	79.3	79.82	80.32	80.82	81.3	81.77	82.24	82.69
"Morocco"	504	70.28	71.37	72.34	73.23	74.04	74.8	75.51	76.17	76.81	77.41	77.99	78.55	79.08	79.61	80.12	80.61	81.1	81.58
"Sudan"	736	60.2	61.9	63.48	64.93	66.25	67.44	68.53	69.52	70.43	71.27	72.05	72.77	73.45	74.09	74.69	75.26	75.81	76.33
"Tunisia"	788	72.62	73.39	74.2	74.94	75.64	76.3	76.93	77.53	78.1	78.65	79.19	79.71	80.22	80.71	81.19	81.67	82.14	82.59
"Western Sahara"	732	66.06	67.64	69.02	70.24	71.33	72.31	73.2	74.02	74.78	75.48	76.15	76.79	77.39	77.97	78.53	79.07	79.59	80.1
"Southern Africa"	913	53.21	55.4	56.63	57.86	58.99	60.11	61.35	62.7	64.13	65.57	66.92	68.16	69.29	70.34	71.34	72.33	73.41	74.53
"Botswana"	72	53.68	54.74	56.27	57.62	58.83	59.96	61.24	62.6	64.07	65.56	67.07	68.55	70	71.43	72.79	74.04	75.23	76.29
"Lesotho"	426	49.68	51.16	51.97	53.08	54.19	55.2	56.22	57.42	58.7	60.09	61.49	62.94	64.44	66.01	67.64	69.32	71.05	72.76
"Namibia"	516	62.07	62.03	63.62	64.81	65.75	66.62	67.49	68.26	68.97	69.64	70.27	70.92	71.54	72.19	72.81	73.39	73.97	74.52
"South Africa"	710	53.13	55.5	56.73	57.94	59.04	60.14	61.37	62.73	64.19	65.67	67.04	68.29	69.41	70.44	71.4	72.37	73.43	74.56
